Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2002,CIPLA,EQ,1133.75,1140,1149,1130,1130,1132.7,1138.34,10563,1.20243E+12,,4599,0.4354
02-01-2002,CIPLA,EQ,1132.7,1139,1148.9,1120.75,1122.1,1126.95,1135.63,21243,2.41241E+12,,11051,0.5202
03-01-2002,CIPLA,EQ,1126.95,1143,1143,1125.25,1127.1,1129.5,1130.35,16228,1.83434E+12,,8919,0.5496
04-01-2002,CIPLA,EQ,1129.5,1137,1140,1131,1135,1134.25,1134.69,15934,1.80801E+12,,11082,0.6955
07-01-2002,CIPLA,EQ,1134.25,1151.55,1162,1148,1150,1149.85,1152.37,24966,2.877E+12,,18171,0.7278
08-01-2002,CIPLA,EQ,1149.85,1100,1175,1100,1165,1165.85,1168.36,35291,4.12326E+12,,25004,0.7085
09-01-2002,CIPLA,EQ,1165.85,1180,1190,1171.5,1176.6,1182.85,1179.66,38535,4.54582E+12,,26853,0.6968
10-01-2002,CIPLA,EQ,1182.85,1165,1199,1165,1197,1193.75,1187.39,35844,4.25609E+12,,24460,0.6824
11-01-2002,CIPLA,EQ,1193.75,1195,1209,1165,1195,1192.55,1194.48,56414,6.73852E+12,,33572,0.5951
14-01-2002,CIPLA,EQ,1192.55,1209,1209,1186,1190,1197.25,1199.23,17695,2.12205E+12,,10185,0.5756
15-01-2002,CIPLA,EQ,1197.25,1199.5,1205,1174,1198,1188.4,1188.71,44863,5.33293E+12,,31460,0.7012
16-01-2002,CIPLA,EQ,1188.4,1182.55,1195,1174,1192,1183.6,1181.63,28098,3.32015E+12,,24258,0.8633
17-01-2002,CIPLA,EQ,1183.6,1179.1,1180,1161,1175,1167.75,1174.5,32207,3.78271E+12,,25599,0.7948
18-01-2002,CIPLA,EQ,1167.75,1175,1200,1156,1171.2,1168.35,1180.69,44835,5.29361E+12,,26240,0.5853
21-01-2002,CIPLA,EQ,1168.35,1150,1150,1101,1136,1130.9,1121.45,222479,2.49498E+13,,154509,0.6945
22-01-2002,CIPLA,EQ,1130.9,1135,1147,1115,1125,1125.3,1125.23,70797,7.96631E+12,,46068,0.6507
23-01-2002,CIPLA,EQ,1125.3,1135,1140,1126.1,1130.2,1131.3,1133.38,19438,2.20307E+12,,13573,0.6983
24-01-2002,CIPLA,EQ,1131.3,1112,1138,1112,1120,1118.65,1124.81,34391,3.86834E+12,,23196,0.6745
25-01-2002,CIPLA,EQ,1118.65,1136,1136,1120.1,1127.7,1125.05,1125.24,11719,1.31867E+12,,7092,0.6052
28-01-2002,CIPLA,EQ,1125.05,1130,1137,1107,1107,1113.85,1126.57,63839,7.19188E+12,,58550,0.9172
29-01-2002,CIPLA,EQ,1113.85,1065,1118,1065,1112,1110.2,1111.75,23310,2.59148E+12,,19096,0.8192
30-01-2002,CIPLA,EQ,1110.2,1124.8,1185,1100,1109.75,1110.1,1110.1,37506,4.16353E+12,,33058,0.8814
31-01-2002,CIPLA,EQ,1110.1,1111.05,1115,1107.2,1110,1108.55,1109.3,38933,4.31885E+12,,32550,0.8361
01-02-2002,CIPLA,EQ,1108.55,1111,1115,1107,1109.05,1109.6,1109.91,31398,3.48489E+12,,26360,0.8395
04-02-2002,CIPLA,EQ,1109.6,1120,1130,1076,1090,1081.9,1098.23,63203,6.94115E+12,,49002,0.7753
05-02-2002,CIPLA,EQ,1081.9,1090,1099.9,1071,1076.05,1076.35,1077.74,58083,6.25986E+12,,45230,0.7787
06-02-2002,CIPLA,EQ,1076.35,1115,1115,1047.25,1049.3,1050.5,1055.81,228651,2.41412E+13,,181158,0.7923
07-02-2002,CIPLA,EQ,1050.5,1055,1074.25,1052,1069,1066.4,1065.62,35418,3.77421E+12,,22550,0.6367
